id;image_path;figures_original;difference_figuren;rating;answer;fascination;participant_id;expertise;created_at;updated_at;fromwhere;zuversichtlich;beurteilt;beurteiler1_yesno;beurteiler1_scaled;beurteiler2_yesno;beurteiler2_scaled;use_this;beurteiler3_yesno;ELO-RATING;accuracy_pixel_by_pixel;figuren;analogy_yes_no;time_on_board;structural_similarity_score;analysis_category;explanation;relational_count;attribute_count;relational_expressions;attribute_expressions;key_evidence;is_structural;is_mixed;is_non_structural;relational_ratio;analysis_status;processed_timestamp;error_message
19;6;11;0;3k4/1pppp3/8/8/8/8/1PPPPP2/3K4;Das war sozusagend ie gleiche Anzahl an Bauern, jedoch an der jeweils in der 2 und 7 Linie.;5;54f1cace7a;Advanced;2024-04-30 07:09:42;2024-11-17 15:46:39;1;2;2;1;4;1;3;;;1289;0.671875;11;1;24.1061;1.0;non-structural;The response focuses on surface-level attributes: comparing the numerical count of pawns ('gleiche Anzahl an Bauern') and their isolated positions on specific ranks ('2 und 7 Linie'). It does not describe relationships between pieces, interactions, strategic patterns, or functional connections. The analysis is purely quantitative and positional without relational mapping.;0.0;2.0;;"gleiche Anzahl an Bauern; in der 2 und 7 Linie";"gleiche Anzahl an Bauern; in der 2 und 7 Linie";0.0;0.0;1.0;0.0;success;2025-07-31 09:45:26;
21;2;8;-3;6rk/R7/2NQ4/8/8/8/8/8;Die Koordination von Turm, Dame und Pferd schränkt den schwarzen König massiv ein, schwarze Turm die Verteidigung behindert.;5;54f1cbf07a;Advanced;2024-07-16 21:38:54;2024-11-03 17:39:24;1;5;2;1;5;1;4;;;1338;0.8125;5;1;39.8239;8.0;structural;The response demonstrates structural thinking by focusing on the coordination between pieces (Koordination) and how their combined action restricts the black king (schränkt ... ein). The phrase 'schwarze Turm die Verteidigung behindert' shows understanding of how the black rook's position interferes with defensive capabilities. While individual pieces are named (attributes), the emphasis is on their interactive relationships and strategic effects rather than their isolated positions or surface features.;3.0;5.0;"Koordination; schränkt ... ein; behindert";"Turm; Dame; Pferd; schwarzen König; schwarze Turm";"Koordination von Turm, Dame und Pferd; schränkt den schwarzen König massiv ein; schwarze Turm die Verteidigung behindert";1.0;0.0;0.0;0.375;success;2025-07-31 11:04:01;
22;1;7;-2;k1K5/b7/8/1Np5/8/8/8/8;Das weiße Pferd kann mit einem geschickten Zug eine Matt Situation voll ausbauen;3;54f1cbf07a;Advanced;2024-07-16 21:43:26;2024-11-09 14:39:50;1;3;2;0;3;1;4;;1.0;1338;0.8125;5;1;17.7142;7.0;structural;The response demonstrates structural thinking by focusing on the relationship between the knight's movement and the resulting checkmate situation. The phrase 'geschickten Zug' (skillful move) implies strategic interaction, while 'Matt Situation voll ausbauen' (fully exploit checkmate situation) indicates understanding of piece coordination to achieve a tactical goal. However, 'weiße Pferd' (white knight) is an attribute-based expression that identifies the piece without relational context. The response emphasizes the functional relationship between the knight's action and the checkmate outcome rather than just describing positions.;2.0;1.0;"geschickten Zug; Matt Situation voll ausbauen";weiße Pferd;"geschickten Zug; Matt Situation voll ausbauen; weiße Pferd";1.0;0.0;0.0;0.6666666666666666;success;2025-07-31 09:45:50;
23;5;14;-9;8/8/2q1kp2/8/3N4/3K4/8/8;"In der Schachstrategie bezeichnet man als ""Königsgabel"" eine taktische Kombination, bei der ein einzelner Springer gleichzeitig den gegnerischen König und die Dame angreift.";4;54f1cbf07a;Advanced;2024-07-16 21:45:08;2024-11-09 16:04:31;1;4;2;1;4;1;4;;;1338;0.71875;5;1;36.8547;3.0;non-structural;The response describes a specific tactical pattern (knight fork) but focuses on the individual pieces involved rather than the relationships between them. While it mentions the knight 'attacking' two pieces, it doesn't elaborate on the strategic relationships, coordination, or patterns between pieces that would demonstrate structural thinking. The description remains at the level of identifying what the knight is doing to specific pieces rather than explaining the deeper relational structure of the position.;1.0;3.0;angreift;"einzelner Springer; gegnerischen König; die Dame";"einzelner Springer; gegnerischen König und die Dame angreift";0.0;0.0;1.0;0.25;success;2025-07-31 09:46:01;
24;3;13;-10;8/8/6k1/8/3NK3/8/8/8;Ungenügend Material, weißes Pferd ist nicht genug;4;54f1cbf07a;Advanced;2024-07-16 21:48:45;2024-11-10 10:34:18;1;4;2;1;4;1;4;;;1338;0.78125;3;1;27.2433;1.0;non-structural;The response focuses on material insufficiency and the isolated attribute of a white knight without describing any relationships between pieces or strategic patterns. It mentions a surface-level observation about the material composition rather than explaining how pieces interact or coordinate.;0.0;2.0;;"Ungenügend Material; weißes Pferd";"Ungenügend Material; weißes Pferd";0.0;0.0;1.0;0.0;success;2025-07-31 09:46:12;
26;14;12;-4;4k3/7n/6r1/2p3b1/2P1B3/3K4/8/8;Läufer auf e4 nimmt g6 gibt Schach auf e8 und kann anschließend den Springer auf h7 nehmen. Damit ist es wieder ein ausgeglichenes Spiel;3;54f1cbf07a;Advanced;2024-07-16 21:59:28;2024-11-13 13:28:41;1;4;2;0;3;1;3;;1.0;1338;0.734375;8;1;21.6272;7.0;structural;The response demonstrates structural thinking by describing a sequence of piece interactions and their consequences. It shows how the bishop's capture on g6 leads to a check on e8, which then enables capturing the knight on h7. The final assessment of the position becoming balanced again indicates understanding of the dynamic relationships between the pieces. While specific positions are mentioned, the focus is on the causal chain of actions and their strategic implications rather than just static attributes.;4.0;4.0;"nimmt; gibt Schach; kann anschließend ... nehmen; damit ist es wieder ein ausgeglichenes Spiel";"Läufer auf e4; g6; e8; Springer auf h7";"nimmt g6 gibt Schach auf e8; kann anschließend den Springer auf h7 nehmen; damit ist es wieder ein ausgeglichenes Spiel";1.0;0.0;0.0;0.5;success;2025-07-31 09:46:25;
27;12;8;-3;8/2k5/4n3/2b5/3N4/8/4K3/8;Springer auf d4 nimmt Springer auf e6 gibt dann den König auf c7 ein Schach un nimmt dann den Läufer auf c5. König auf c6 nimmt Läufer c5. Remi;3;54f1cbf07a;Advanced;2024-07-16 22:03:48;2024-11-13 15:52:45;2;2;2;1;4;1;5;;;1338;0.8125;5;1;30.7999;0.0;non-structural;The response primarily describes a sequence of moves based on individual piece positions without explaining relationships between pieces or strategic patterns. It focuses on which pieces are moving to which squares without discussing how pieces interact, support each other, or create coordinated patterns.;0.0;6.0;;"Springer auf d4; Springer auf e6; König auf c7; Läufer auf c5; König auf c6; Läufer c5";"Springer auf d4; Springer auf e6; König auf c7; Läufer auf c5; König auf c6; Läufer c5";0.0;0.0;1.0;0.0;success;2025-07-31 09:46:34;
30;15;12;-7;8/8/7k/8/6bP/8/6BK/8;Der Bauer auf h4 kann nicht vorwärts rücken, da er sofort vom König auf h6 oder dem Läufer auf g4 geschnappt werden würde.;3;54f1cbf07a;Advanced;2024-07-16 22:11:26;2024-11-17 18:09:05;2;3;2;1;4;1;4;;;1338;0.765625;5;1;16.660700000000002;8.0;structural;The response demonstrates structural thinking by focusing on the relationships and interactions between pieces rather than their isolated attributes. The key relational expressions 'kann nicht vorwärts rücken' (cannot advance forward) and 'wird geschnappt' (would be captured) show an understanding of how the pawn's movement is restricted by the combined action of the king and bishop. The phrase 'zusammen geschnappt' (captured together) emphasizes the coordinated interaction between the king and bishop. While specific piece positions are mentioned, they serve as context for explaining the relational dynamics rather than being the primary focus.;4.0;3.0;"kann nicht vorwärts rücken; wird geschnappt; zusammen geschnappt; schnappt werden";"Bauer auf h4; König auf h6; Läufer auf g4";"kann nicht vorwärts rücken; wird geschnappt; zusammen geschnappt; schnappt werden";1.0;0.0;0.0;0.5714285714285714;success;2025-07-31 09:46:51;
31;2;8;1;8/4kq2/4p1p1/4N3/2B5/3Q4/8/R1K5;In dieser dynamischen Mittelspielstellung hat Weiß einen koordinierten Angriff auf den exponierten schwarzen König im Zentrum aufgebaut. Die weiße Dame, der Läufer und der Springer bilden eine gefährliche Batterie, während der Turm bereit ist, in die Aktion einzugreifen. Die schwarzen Bauern bieten nur minimalen Schutz und behindern gleichzeitig die Verteidigungsmöglichkeiten des Königs.;5;54f1cd087a;Advanced;2024-05-14 15:18:39;2024-11-03 17:10:13;1;5;2;1;4;1;5;;;1110;0.75;9;1;21.3252;9.0;structural;"The response demonstrates strong structural thinking by focusing on the relationships and interactions between pieces. It describes how White's queen, bishop, and knight form a coordinated battery (""bilden eine gefährliche Batterie"") and how the rook is ready to join the attack (""bereit ist, in die Aktion einzugreifen""). The analysis highlights how Black's pawns not only provide minimal protection but also hinder defensive possibilities (""schwarzen Bauern bieten nur minimalen Schutz und behindern gleichzeitig die Verteidigungsmöglichkeiten""). These relational expressions emphasize the strategic connections between pieces and their collective function in the position. While there are some attribute-based descriptions (like piece identities and positions), the dominant focus is on the structural relationships that create the attacking potential.";5.0;7.0;"koordinierten Angriff; bilden eine gefährliche Batterie; bereit ist, in die Aktion einzugreifen; schwarzen Bauern bieten nur minimalen Schutz; behindern gleichzeitig die Verteidigungsmöglichkeiten";"weiß; schwarzen König; exponierten; im Zentrum; weiße Dame, der Läufer und der Springer; Turm; schwarzen Bauern";"koordinierten Angriff; bilden eine gefährliche Batterie; bereit ist, in die Aktion einzugreifen; schwarzen Bauern bieten nur minimalen Schutz; behindern gleichzeitig die Verteidigungsmöglichkeiten";1.0;0.0;0.0;0.4166666666666667;success;2025-07-31 11:04:17;
32;1;7;0;knR5/2P5/8/3p4/1K1n4/8/8/8;Der weiße Bauer auf c7 kann zur Königin werden und gleichzeitig nicht nur das weiße Pferd schlagen, sondern dem schwarzen König ein Matt geben.;2;54f1cd087a;Advanced;2024-05-14 15:20:28;2024-11-09 14:29:31;1;4;2;1;5;1;4;;;1110;0.78125;7;1;36.2238;8.0;structural;The response demonstrates structural thinking by focusing on the pawn's relational roles: capturing another piece (schlagen) and delivering checkmate (Matt geben), which involve interactions between pieces. While it mentions positional attributes (c7) and colors (weiße), the core analysis centers on functional relationships and strategic outcomes rather than isolated piece properties.;2.0;2.0;"schlagen; Matt geben";"weiße Bauer auf c7; weiße Pferd";"schlagen; Matt geben";1.0;0.0;0.0;0.5;success;2025-07-31 11:04:34;
33;5;14;-8;8/3q1k2/2r3p1/4N3/8/5K2/8/8;Königsgabel- Dabei handelt es sich um einen gleichzeitigen Angriff auf König, Dame und Turm. In Fachkreisen wird diese Konstellation auch als Königsgabel bezeichnet.;4;54f1cd087a;Advanced;2024-05-14 15:26:05;2024-11-09 16:10:02;1;4;2;1;4;1;4;;;1110;0.71875;6;1;21.5013;3.0;non-structural;The response primarily describes a chess tactic (Königsgabel) by naming the pieces involved (König, Dame, Turm) rather than explaining the relationships between them. While 'gleichzeitigen Angriff' indicates a basic relational concept of multiple pieces being attacked, the focus remains on identifying the specific pieces rather than their strategic relationships or interactions. The term 'Königsgabel' itself refers to a specific tactical pattern but is presented here as a label rather than explaining the underlying structure.;2.0;3.0;"gleichzeitigen Angriff; Königsgabel";"König; Dame; Turm";"Königsgabel; Angriff auf König, Dame und Turm";0.0;0.0;1.0;0.4;success;2025-07-31 09:47:45;
34;3;13;-3;8/8/8/4p1k1/3pPp2/3P1Pp1/6P1/5K2;blockierenden Bauern eine Pattsituation ein klares Remi;4;54f1cd087a;Advanced;2024-05-14 15:29:02;2024-11-10 10:31:23;1;3;2;1;2;1;2;;;1110;0.78125;10;1;36.56;3.0;non-structural;The response contains one relational expression 'blockierenden' (blocking) which indicates a relationship between pieces. However, the majority of the response focuses on specific chess terms describing a static position (Bauern = pawns, Pattsituation = stalemate situation, klares Remi = clear draw) without explaining the relationships or interactions between pieces. The description is primarily about the attributes of the position rather than the dynamic relationships between pieces.;1.0;3.0;blockierenden;"Bauern; Pattsituation; klares Remi";"blockierenden; Bauern; Pattsituation; klares Remi";0.0;0.0;1.0;0.25;success;2025-07-31 11:04:46;
36;14;12;-2;1n3k2/8/1b1r4/p6p/P4B1P/3K4/8/8;Läufer auf f4 nimmt d6 Turm gibt Schach auf f8 und kann anschließend den Springer auf b8 nehmen. Damit ist es wieder ein ausgeglichenes Spiel;1;54f1cd087a;Advanced;2024-05-14 15:34:13;2024-11-13 13:24:59;2;4;2;0;3;1;4;;1.0;1110;0.671875;10;1;43.088;7.0;structural;The response demonstrates structural thinking by describing a sequence of piece interactions and their consequences. It shows how the bishop's capture enables the rook's check, which then allows capturing the knight, leading to a balanced position. While it contains specific piece positions (attributes), the focus is on the causal relationships between moves and their strategic outcome (balance). The relational expressions show how pieces work together and affect the game state.;2.0;4.0;"nimmt ... gibt Schach ... kann ... nehmen; damit ist es wieder ein ausgeglichenes Spiel";"Läufer auf f4; d6 Turm; f8; Springer auf b8";"nimmt d6 Turm gibt Schach auf f8 und kann anschließend den Springer auf b8 nehmen; damit ist es wieder ein ausgeglichenes Spiel";1.0;0.0;0.0;0.3333333333333333;success;2025-07-31 09:48:06;
37;12;8;-1;5r2/6k1/4n1p1/8/3N2P1/8/4K3/8;Springer auf d4 nimmt Springer auf e6 gibt dann den König auf g7 ein Schach und nimmt dann den Turm auf f8. König auf g7 nimmt Springer auf f8. Die Bauern bleiben übrig und geht in Remi;5;54f1cd087a;Advanced;2024-05-14 15:39:51;2024-11-13 15:52:31;2;5;2;0;3;1;5;;1.0;1110;0.765625;7;1;35.0619;7.0;structural;The response demonstrates structural thinking by describing a sequence of piece interactions and their causal relationships. The phrases 'nimmt ... gibt dann ... ein Schach' and 'nimmt ... nimmt' show how capturing pieces leads to check and subsequent captures, indicating relational understanding of piece coordination. The outcome 'geht in Remi' reflects awareness of the strategic consequence. However, it also contains several attribute-based expressions naming specific pieces and their positions without elaborating on their relationships.;3.0;5.0;"nimmt ... gibt dann ... ein Schach; nimmt ... nimmt; geht in Remi";"Springer auf d4; Springer auf e6; König auf g7; Turm auf f8; Bauern bleiben übrig";"nimmt ... gibt dann ... ein Schach; nimmt ... nimmt; geht in Remi; Springer auf d4; König auf g7; Turm auf f8";1.0;0.0;0.0;0.375;success;2025-07-31 09:48:19;
38;8;9;1;R4bk1/4pppp/8/8/8/8/2R3P1/5K2;Turm a8 nimmt Lf8, König muss Turm nehemen. Material Austausch. Tc2 geht auf Grundlinie. Schachmatt.;5;54f1cd087a;Advanced;2024-05-14 15:42:06;2024-11-17 14:58:45;1;4;2;0;3;1;3;;1.0;1110;0.78125;10;1;35.1432;5.0;mixed;The response contains both relational and attribute-based elements. Relational aspects include the causal interaction 'nimmt' (captures) and 'muss...nehemen' (must take), which describe piece interactions. 'Material Austausch' (material exchange) implies reciprocal piece relationships. However, the response also focuses on specific pieces ('Turm a8', 'Lf8', 'Tc2'), isolated positions ('Grundlinie'), and the terminal state 'Schachmatt' (checkmate) without explaining relational patterns. This mix of strategic interactions and surface-level descriptions results in a moderate structural similarity score.;3.0;5.0;"nimmt; muss...nehemen; Material Austausch";"Turm a8; Lf8; König; Tc2; Grundlinie";"nimmt; muss...nehemen; Material Austausch; Turm a8; Tc2; Grundlinie";0.0;1.0;0.0;0.375;success;2025-07-31 09:48:35;
39;6;11;0;8/8/7k/4pPp1/3pP1P1/2pP3K/2P5/8;Alles gleich geblieben;5;54f1cd087a;Advanced;2024-05-14 15:44:14;2024-11-17 15:49:34;2;5;2;1;1;1;2;;;1110;0.984375;11;1;48.2438;1.0;non-structural;The response 'Alles gleich geblieben' (Everything remained the same) shows minimal structural thinking. It indicates a surface-level observation that nothing has changed, without mentioning any relationships between pieces, their interactions, or strategic patterns. The phrase focuses on the static state of the position rather than any relational dynamics between chess pieces.;0.0;1.0;;gleich geblieben;gleich geblieben;0.0;0.0;1.0;0.0;success;2025-07-31 11:04:55;
41;2;8;-1;2kr4/1p6/2N5/1Q6/8/4B3/8/8;Der schwarze König ist in der Ecke gefangen, mit seinen eigenen Bauern als Hindernis. Die weiße Dame und der Springer arbeiten zusammen, um kritische Felder zu kontrollieren, während der Läufer bereit ist, in den Angriff einzugreifen. Der b6-Bauer schränkt die Verteidigungsmöglichkeiten zusätzlich ein.;5;54f1ce2a7a;Advanced;2024-04-29 15:02:37;2024-11-03 17:44:36;1;5;2;1;4;1;4;;;788;0.796875;7;1;21.1299;9.0;structural;The response demonstrates strong structural thinking by focusing on the relationships and interactions between pieces. It describes how the white queen and knight work together to control critical squares, the bishop's readiness to join the attack, and how the b6-pawn restricts defensive possibilities. These relational expressions show understanding of piece coordination and strategic patterns rather than just individual piece attributes. While some basic piece identifications are present (attribute expressions), the dominant focus is on how pieces relate to and affect each other.;4.0;6.0;"arbeiten zusammen; kontrollieren kritische Felder; bereit ist, in den Angriff einzugreifen; schränkt ... ein";"schwarze König; Ecke; weiße Dame; Springer; Läufer; b6-Bauer";"arbeiten zusammen; kontrollieren kritische Felder; bereit ist, in den Angriff einzugreifen; schränkt ... ein";1.0;0.0;0.0;0.4;success;2025-07-31 09:49:00;
